accepted_range_id,accepted_range_inside,active_episode_id,auction_state,chase_block_eligible,classification,continuation_unlocked,created_price,episode_initial_room_qualified,episode_maturity_qualified,episode_status,exhausted_side,exhaustion_active,gap_pct,large_gap,package_pnl,proposed_reversal_confirmed,qualified_episode_unresolved,range_locked,range_policy_exempt,reversal_failed,same_direction_chase,setup,side,signal_id,signal_last_pnl_pct,signal_last_pnl_value,signal_time,symbol,would_block
DYNAMIC:2026-07-27T11:09:00+05:30:2026-07-27T11:39:00+05:30,False,,ORDERLY_DOWNTREND,False,UNCHANGED_BY_EXPERIMENT_POLICY,False,414.5,False,False,NONE,UNKNOWN,False,0.8523409363745525,False,-524.4,False,False,False,False,False,False,ACCEPTED_BREAKOUT,SELL,8d8ae94a-4c03-55bf-9edc-dbfb39a565fd,-0.1206,-0.5,2026-07-27 12:00:00,BHEL,False
DYNAMIC:2026-07-27T09:39:00+05:30:2026-07-27T09:57:00+05:30,False,,ORDERLY_UPTREND,False,UNCHANGED_BY_EXPERIMENT_POLICY,False,312.5,False,False,NONE,UNKNOWN,False,1.0743801652892562,True,-3604.8,False,False,False,False,False,False,ACCEPTED_BREAKOUT,BUY,68ef596e-c46c-53fe-88da-b802b59b5479,-0.4,-1.25,2026-07-27 12:06:00,LTF,False
DYNAMIC:2026-07-27T09:21:00+05:30:2026-07-27T10:06:00+05:30,False,EXPERIMENT_V2_1:SHRIRAMFIN:2:2026-07-27T12:03:00:UP,ORDERLY_UPTREND,True,BLOCK_QUALIFIED_EXHAUSTION_CHASE,False,1029.7,True,True,REVERSAL_CONFIRMED,UP,False,1.779324055666002,True,7189.5,True,True,False,False,False,True,ACCEPTED_BREAKOUT,BUY,0791f2dd-1c11-5485-96db-d9b9ea00cdce,0.9323,9.6,2026-07-27 12:15:00,SHRIRAMFIN,True
DYNAMIC:2026-07-27T11:21:00+05:30:2026-07-27T11:57:00+05:30,True,EXPERIMENT_V2_1:MAXHEALTH:2:2026-07-27T11:36:00:UP,ORDERLY_UPTREND,True,BLOCK_QUALIFIED_EXHAUSTION_CHASE,False,1107.5,True,True,REVERSAL_CONFIRMED,UP,True,0.6575291720689144,False,-3944.7,True,True,True,True,False,True,FAILED_BREAKOUT,BUY,e721819e-22c1-531a-8f1e-42cbd4dc04c3,-0.7223,-8.0,2026-07-27 12:18:00,MAXHEALTH,True
DYNAMIC:2026-07-27T11:00:00+05:30:2026-07-27T11:27:00+05:30,False,,REVERSAL,False,UNCHANGED_BY_EXPERIMENT_POLICY,False,5250.0,False,False,NONE,DOWN,True,1.0529355149181872,True,-3418.45,False,False,False,False,False,False,REVERSAL,SELL,99f67014-ea38-5788-b3f9-2f13300da3f0,-0.5714,-30.0,2026-07-27 12:18:00,PERSISTENT,False
DYNAMIC:2026-07-27T11:51:00+05:30:2026-07-27T12:15:00+05:30,False,,FRESH_EXPANSION,False,UNCHANGED_BY_EXPERIMENT_POLICY,False,17386.0,False,False,NONE,UNKNOWN,False,1.3341660043147496,True,-2834.75,False,False,False,False,False,False,BREAKOUT_INITIATION,SELL,1a5ef184-513e-5211-8465-f0d663dbfbc2,0.6212,108.0,2026-07-27 12:36:00,FORCEMOT,False
DYNAMIC:2026-07-27T10:00:00+05:30:2026-07-27T10:30:00+05:30,False,,ORDERLY_DOWNTREND,False,UNCHANGED_BY_EXPERIMENT_POLICY,False,2545.0,False,False,NONE,UNKNOWN,False,1.0042641374088317,True,-1110.8,False,False,False,False,False,False,REVERSAL,SELL,44338de2-36f6-5314-b0e1-fc09c4a5cb56,-0.1572,-4.0,2026-07-27 12:45:00,HDFCAMC,False
DYNAMIC:2026-07-27T11:00:00+05:30:2026-07-27T11:54:00+05:30,False,,ORDERLY_DOWNTREND,False,UNCHANGED_BY_EXPERIMENT_POLICY,False,3807.5,False,False,NONE,UNKNOWN,False,0.9024461039132456,False,-4357.8,False,False,False,False,False,False,ACCEPTED_BREAKOUT,SELL,171931af-c037-5eab-bfcc-791c8425e49d,-0.3546,-13.5,2026-07-27 12:45:00,LT,False
DYNAMIC:2026-07-27T12:24:00+05:30:2026-07-27T12:42:00+05:30,False,EXPERIMENT_V2_1:ULTRACEMCO:20:2026-07-27T11:57:00:DOWN,BOUNDARY_INTERACTION,True,BLOCK_QUALIFIED_EXHAUSTION_CHASE,False,11790.0,True,True,REVERSAL_CONFIRMED,DOWN,False,0.8361486486486486,False,,True,True,False,False,False,True,BREAKOUT_INITIATION,SELL,ef3713b2-8cd4-594d-9060-6476ede2dd01,-0.246,-29.0,2026-07-27 12:48:00,ULTRACEMCO,True
DYNAMIC:2026-07-27T11:48:00+05:30:2026-07-27T12:15:00+05:30,False,,ORDERLY_DOWNTREND,False,UNCHANGED_BY_EXPERIMENT_POLICY,False,11043.0,False,False,NONE,UNKNOWN,False,1.3195098963242224,True,-1773.0,False,False,False,False,False,False,REVERSAL,SELL,6265553b-bf68-587e-ad12-3113a2180fc2,-0.4981,-55.0,2026-07-27 12:57:00,OFSS,False
DYNAMIC:2026-07-27T11:54:00+05:30:2026-07-27T12:51:00+05:30,True,,ORDERLY_UPTREND,False,UNCHANGED_BY_EXPERIMENT_POLICY,False,5279.6,False,False,NONE,UP,True,1.0529355149181872,True,-513.2,False,False,False,False,False,False,REVERSAL,BUY,ab4d97e1-0e2d-5188-86c2-a387f2ed247f,-0.3542,-18.7,2026-07-27 12:57:00,PERSISTENT,False
DYNAMIC:2026-07-27T12:03:00+05:30:2026-07-27T12:54:00+05:30,True,,ORDERLY_DOWNTREND,False,UNCHANGED_BY_EXPERIMENT_POLICY,False,1634.9,False,False,NONE,UNKNOWN,False,0.5,False,-4773.1,False,False,False,False,False,False,REVERSAL,SELL,4032b1df-aa03-50d4-865a-b09526029533,-0.7095,-11.6,2026-07-27 12:57:00,PRESTIGE,False
DYNAMIC:2026-07-27T11:00:00+05:30:2026-07-27T11:48:00+05:30,False,,CONTROLLED_PULLBACK,False,UNCHANGED_BY_EXPERIMENT_POLICY,False,2195.2,False,False,NONE,UNKNOWN,False,-0.03612553623843675,False,-2910.95,False,False,False,False,False,False,ACCEPTED_BREAKOUT,SELL,55a3cb91-afcb-5516-bf98-4b928e5d0a7a,-0.1731,-3.8,2026-07-27 13:06:00,GLENMARK,False
DYNAMIC:2026-07-27T12:00:00+05:30:2026-07-27T12:27:00+05:30,False,,ORDERLY_UPTREND,False,UNCHANGED_BY_EXPERIMENT_POLICY,False,1066.3,False,False,NONE,UNKNOWN,False,1.5288461538461626,True,-502.6,False,False,False,False,False,False,ACCEPTED_BREAKOUT,BUY,2b8d1977-279a-56f6-85d8-c57463605000,-0.4314,-4.6,2026-07-27 13:06:00,JINDALSTEL,False
DYNAMIC:2026-07-27T12:00:00+05:30:2026-07-27T12:51:00+05:30,True,EXPERIMENT_V2_1:ULTRACEMCO:20:2026-07-27T11:57:00:DOWN,REVERSAL,True,BLOCK_RANGE_LOCKED,False,11820.0,True,True,REVERSAL_CONFIRMED,DOWN,False,0.8361486486486486,False,2324.5,True,True,True,False,False,False,REVERSAL,BUY,fed276b6-c9dd-5d13-8136-bd240980142a,0.4399,52.0,2026-07-27 13:15:00,ULTRACEMCO,True
DYNAMIC:2026-07-27T11:33:00+05:30:2026-07-27T12:24:00+05:30,False,,ORDERLY_DOWNTREND,False,UNCHANGED_BY_EXPERIMENT_POLICY,False,304.75,False,False,NONE,UNKNOWN,False,0.6820396232543108,False,-1001.6,False,False,False,False,False,False,ACCEPTED_BREAKOUT,SELL,6855e4c0-4470-57df-ae98-8bd19d2b60ad,-0.082,-0.25,2026-07-27 13:18:00,ANGELONE,False
DYNAMIC:2026-07-27T10:00:00+05:30:2026-07-27T10:30:00+05:30,False,,REVERSAL,False,UNCHANGED_BY_EXPERIMENT_POLICY,False,2545.0,False,False,NONE,UNKNOWN,False,1.0042641374088317,True,-2086.9,False,False,False,False,False,False,REVERSAL,BUY,e9f19f74-aa01-5b0b-b55e-561b5c52498d,0.3143,8.0,2026-07-27 13:18:00,HDFCAMC,False
